Kind,Name,CountClassDerived,CountDeclMethodAll,CountDeclMethod,CountLine,CountLineCode,CountLineComment,MaxInheritanceTree,RatioCommentToCode,PercentLackOfCohesion
File,"MqttPubRel.java",,,8,123,83,21,,0.25,
File,"MqttPubRel.java",,,5,64,27,28,,1.04,
File,"MqttPubRelTest.java",,,5,108,74,18,,0.24,
File,"MqttPublish.java",,,12,181,128,30,,0.23,
File,"MqttPublish.java",,,14,242,163,50,,0.31,
File,"MqttPublishTest.java",,,3,124,86,16,,0.19,
File,"MqttReceivedMessage.java",,,3,35,13,17,,1.31,
File,"MqttReceivedMessage.java",,,3,38,14,18,,1.29,
File,"MqttResultImpl.java",,,3,28,20,0,,0.00,
File,"MqttReturnCode.java",,,1,77,50,64,,1.28,
File,"MqttSecurityException.java",,,3,51,13,35,,2.69,
File,"MqttSecurityException.java",,,3,52,13,36,,2.77,
File,"MqttSessionState.java",,,4,39,18,14,,0.78,
File,"MqttState.java",,,15,114,24,71,,2.96,
File,"MqttSubAck.java",,,8,134,91,20,,0.22,
File,"MqttSubAckTest.java",,,3,90,59,16,,0.27,
File,"MqttSuback.java",,,4,66,37,20,,0.54,
File,"MqttSubscribe.java",,,7,152,98,39,,0.40,
File,"MqttSubscribe.java",,,12,217,126,59,,0.47,
File,"MqttSubscribeTest.java",,,5,176,126,18,,0.14,
File,"MqttSubscription.java",,,19,166,86,55,,0.64,
File,"MqttSubscriptionResultImpl.java",,,3,29,21,0,,0.00,
File,"MqttSubscriptionToken.java",,,5,50,40,0,,0.00,
File,"MqttToken.java",,,16,101,53,28,,0.53,
File,"MqttToken.java",,,18,114,62,28,,0.45,
File,"MqttToken.java",,,8,59,45,0,,0.00,
File,"MqttTopic.java",,,9,313,129,151,,1.17,
File,"MqttTopic.java",,,6,125,38,76,,2.00,
File,"MqttTopicTest.java",,,9,88,56,15,,0.27,
File,"MqttTopicTest.java",,,10,120,86,15,,0.17,
File,"MqttTopicValidator.java",,,3,204,101,76,,0.75,
File,"MqttUnsubAck.java",,,2,42,17,19,,1.12,
File,"MqttUnsubAck.java",,,7,130,86,20,,0.23,
File,"MqttUnsubAckTest.java",,,3,87,54,16,,0.30,
File,"MqttUnsubscribe.java",,,7,126,77,37,,0.48,
File,"MqttUnsubscribe.java",,,9,138,86,20,,0.23,
File,"MqttUnsubscribeTest.java",,,3,79,49,16,,0.33,
File,"MqttUnsubscriptionResultImpl.java",,,2,20,14,0,,0.00,
File,"MqttV3Connection.java",,,5,96,66,12,,0.18,
