Kind,Name,CountLineComment,CountLineCode,RatioCommentToCode,PercentLackOfCohesion,CountDeclMethodAll,CountDeclMethod,MaxInheritanceTree,CountLine,CountClassDerived
File,PointerInputTest.java,19,40,0.47,,,1,,70,
File,PortProber.java,29,110,0.26,,,7,,159,
File,PositionAndSizeTest.java,19,150,0.13,,,15,,193,
File,PredicatedRoute.java,16,36,0.44,,,5,,63,
File,Preferences.java,31,182,0.17,,,19,,246,
File,PreferencesTest.java,16,100,0.16,,,12,,146,
File,Presence.java,22,12,1.83,,,2,,38,
File,Prioritizer.java,28,5,5.6,,,1,,37,
File,PriorityTest.java,29,92,0.32,,,5,,148,
File,PriorityTestLoad.java,36,79,0.46,,,5,,133,
File,ProfilerLogEntry.java,16,8,2,,,1,,28,
File,ProfilesIni.java,22,110,0.2,,,5,,159,
File,PropertySetting.java,16,6,2.67,,,2,,24,
File,ProtocolConverter.java,17,78,0.22,,,4,,114,
File,ProtocolConverterTest.java,24,154,0.16,,,6,,214,
File,ProtocolHandshake.java,22,134,0.16,,,6,,187,
File,ProtocolHandshakeTest.java,21,224,0.09,,,14,,315,
File,Proxy.java,160,304,0.53,,,32,,503,
File,ProxySet.java,35,108,0.32,,,16,,169,
File,ProxySetTest.java,26,85,0.31,,,6,,136,
File,ProxySettingTest.java,25,227,0.11,,,20,,294,
File,ProxyStatusServlet.java,23,119,0.19,,,8,,166,
File,ProxyTest.java,25,299,0.08,,,17,,390,
File,ProxyTransform.java,17,28,0.61,,,1,,52,
File,Quotes.java,36,25,1.44,,,1,,67,
File,QuotesTest.java,20,27,0.74,,,5,,55,
File,RealDealIntegrationTest.java,16,41,0.39,,,3,,65,
File,Rectangle.java,16,69,0.23,,,14,,105,
File,RedirectHandler.java,16,18,0.89,,,2,,42,
File,RedirectServlet.java,16,13,1.23,,,1,,34,
File,ReferrerTest.java,88,426,0.21,,,42,,611,
File,ReflectivelyDiscoveredSteps.java,25,269,0.09,,,9,,336,
File,Refresh.java,16,10,1.6,,,1,,32,
File,RefreshPage.java,16,16,1,,,3,,39,
File,RegistrationAwareServletTest.java,19,15,1.27,,,1,,38,
File,RegistrationListener.java,25,4,6.25,,,1,,33,
File,RegistrationListenerTest.java,41,119,0.34,,,10,,192,
File,RegistrationRequest.java,103,101,1.02,,,14,,235,
File,RegistrationRequestTest.java,57,281,0.2,,,26,,388,
