Kind,Name,CountLine,CountLineCode,CountLineComment,CountDeclMethodAll,CountDeclMethod,CountClassDerived,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree
Public Generic Class,edu.uci.ics.jung.algorithms.cluster.EdgeBetweennessClusterer,85,36,43,3,3,0,1.19,16,1
TypeVariable,edu.uci.ics.jung.algorithms.cluster.EdgeBetweennessClusterer.E,0,0,0,0,0,0,0,0,1
Public Constructor,edu.uci.ics.jung.algorithms.cluster.EdgeBetweennessClusterer.EdgeBetweennessClusterer,11,6,5,,,,0.83,,
TypeVariable,edu.uci.ics.jung.algorithms.cluster.EdgeBetweennessClusterer.N,0,0,0,0,0,0,0,0,1
Public Method,edu.uci.ics.jung.algorithms.cluster.EdgeBetweennessClusterer.apply,34,23,8,,,,0.35,,
Public Method,edu.uci.ics.jung.algorithms.cluster.EdgeBetweennessClusterer.getEdgesRemoved,9,3,6,,,,2,,
Public Class,edu.uci.ics.jung.algorithms.cluster.TestBicomponentClusterer,226,124,63,10,10,0,0.51,0,2
Public Method,edu.uci.ics.jung.algorithms.cluster.TestBicomponentClusterer.createEdges,10,9,0,,,,0,,
Public Method,edu.uci.ics.jung.algorithms.cluster.TestBicomponentClusterer.getNode,9,9,0,,,,0,,
Protected Method,edu.uci.ics.jung.algorithms.cluster.TestBicomponentClusterer.setUp,1,1,0,,,,0,,
Public Static Method,edu.uci.ics.jung.algorithms.cluster.TestBicomponentClusterer.suite,3,3,0,,,,0,,
Public Method,edu.uci.ics.jung.algorithms.cluster.TestBicomponentClusterer.testComponents,44,23,17,,,,0.74,,
Public Method,edu.uci.ics.jung.algorithms.cluster.TestBicomponentClusterer.testExtract0,15,9,2,,,,0.22,,
Public Method,edu.uci.ics.jung.algorithms.cluster.TestBicomponentClusterer.testExtract1,39,19,14,,,,0.74,,
Public Method,edu.uci.ics.jung.algorithms.cluster.TestBicomponentClusterer.testExtract2,49,24,18,,,,0.75,,
Public Method,edu.uci.ics.jung.algorithms.cluster.TestBicomponentClusterer.testExtractEdge,17,10,4,,,,0.4,,
Public Method,edu.uci.ics.jung.algorithms.cluster.TestBicomponentClusterer.testExtractV,26,14,7,,,,0.5,,
Public Class,edu.uci.ics.jung.algorithms.cluster.TestEdgeBetweennessClusterer,39,32,1,3,3,0,0.03,0,2
Protected Method,edu.uci.ics.jung.algorithms.cluster.TestEdgeBetweennessClusterer.setUp,1,1,0,,,,0,,
Public Static Method,edu.uci.ics.jung.algorithms.cluster.TestEdgeBetweennessClusterer.suite,3,3,0,,,,0,,
Public Method,edu.uci.ics.jung.algorithms.cluster.TestEdgeBetweennessClusterer.testRanker,29,25,0,,,,0,,
Public Generic Class,edu.uci.ics.jung.algorithms.cluster.VoltageClusterer,322,182,106,10,10,0,0.58,70,1
TypeVariable,edu.uci.ics.jung.algorithms.cluster.VoltageClusterer.E,0,0,0,0,0,0,0,0,1
Protected Class,edu.uci.ics.jung.algorithms.cluster.VoltageClusterer.MapValueArrayComparator,18,16,0,2,2,0,0,0,1
Protected Constructor,edu.uci.ics.jung.algorithms.cluster.VoltageClusterer.MapValueArrayComparator.MapValueArrayComparator,3,3,0,,,,0,,
Public Method,edu.uci.ics.jung.algorithms.cluster.VoltageClusterer.MapValueArrayComparator.compare,10,10,0,,,,0,,
TypeVariable,edu.uci.ics.jung.algorithms.cluster.VoltageClusterer.N,0,0,0,0,0,0,0,0,1
Public Constructor,edu.uci.ics.jung.algorithms.cluster.VoltageClusterer.VoltageClusterer,15,7,7,,,,1,,
Protected Method,edu.uci.ics.jung.algorithms.cluster.VoltageClusterer.addOneCandidateCluster,22,13,9,,,,0.69,,
Protected Method,edu.uci.ics.jung.algorithms.cluster.VoltageClusterer.addTwoCandidateClusters,29,21,8,,,,0.38,,
Public Method,edu.uci.ics.jung.algorithms.cluster.VoltageClusterer.cluster,10,3,7,,,,2.33,,
Protected Method,edu.uci.ics.jung.algorithms.cluster.VoltageClusterer.cluster_internal,109,69,26,,,,0.38,,
Public Method,edu.uci.ics.jung.algorithms.cluster.VoltageClusterer.getCommunity,7,3,4,,,,1.33,,
Protected Method,edu.uci.ics.jung.algorithms.cluster.VoltageClusterer.getObjectCounts,27,24,0,,,,0,,
Protected Method,edu.uci.ics.jung.algorithms.cluster.VoltageClusterer.getSeedCandidates,20,9,8,,,,0.89,,
Private Static Method,edu.uci.ics.jung.algorithms.cluster.VoltageClusterer.meansOf,8,8,0,,,,0,,
Protected Method,edu.uci.ics.jung.algorithms.cluster.VoltageClusterer.setRandomSeed,3,3,0,,,,0,,
Public Generic Class,edu.uci.ics.jung.algorithms.cluster.WeakComponentClusterer,51,27,18,1,1,0,0.67,0,1
TypeVariable,edu.uci.ics.jung.algorithms.cluster.WeakComponentClusterer.E,0,0,0,0,0,0,0,0,1
TypeVariable,edu.uci.ics.jung.algorithms.cluster.WeakComponentClusterer.N,0,0,0,0,0,0,0,0,1
Public Method,edu.uci.ics.jung.algorithms.cluster.WeakComponentClusterer.apply,37,25,6,,,,0.24,,
Public Class,edu.uci.ics.jung.algorithms.cluster.WeakComponentClustererTest,11,7,2,1,1,0,0.29,0,2
Public Method,edu.uci.ics.jung.algorithms.cluster.WeakComponentClustererTest.testWeakComponent,6,4,2,,,,0.5,,
Package,edu.uci.ics.jung.algorithms.filters,79,45,26,,1,,0.58,,
Public Class,edu.uci.ics.jung.algorithms.filters.KNeighborhoodFilter,54,36,13,1,1,0,0.36,0,1
Public Static Generic Method,edu.uci.ics.jung.algorithms.filters.KNeighborhoodFilter.filterGraph,42,34,4,,,,0.12,,
TypeVariable,edu.uci.ics.jung.algorithms.filters.KNeighborhoodFilter.filterGraph.N,0,0,0,0,0,0,0,0,1
Package,edu.uci.ics.jung.algorithms.filters.impl,66,55,1,,3,,0.02,,
Public Class,edu.uci.ics.jung.algorithms.filters.impl.TestKNeighborhoodFilter,56,47,1,3,3,0,0.02,33,2
Private Method,edu.uci.ics.jung.algorithms.filters.impl.TestKNeighborhoodFilter.populateGraph,13,13,0,,,,0,,
Public Method,edu.uci.ics.jung.algorithms.filters.impl.TestKNeighborhoodFilter.testDirected,16,14,0,,,,0,,
Public Method,edu.uci.ics.jung.algorithms.filters.impl.TestKNeighborhoodFilter.testUndirected,19,17,0,,,,0,,
Package,edu.uci.ics.jung.algorithms.flows,488,338,66,,20,,0.2,,
Public Generic Class,edu.uci.ics.jung.algorithms.flows.EdmondsKarpMaxFlow,265,185,42,29,13,0,0.23,73,2
TypeVariable,edu.uci.ics.jung.algorithms.flows.EdmondsKarpMaxFlow.E,0,0,0,0,0,0,0,0,1
Public Constructor,edu.uci.ics.jung.algorithms.flows.EdmondsKarpMaxFlow.EdmondsKarpMaxFlow,38,25,11,,,,0.44,,
TypeVariable,edu.uci.ics.jung.algorithms.flows.EdmondsKarpMaxFlow.N,0,0,0,0,0,0,0,0,1
Private Method,edu.uci.ics.jung.algorithms.flows.EdmondsKarpMaxFlow.clearParentValues,6,6,0,,,,0,,
Private Method,edu.uci.ics.jung.algorithms.flows.EdmondsKarpMaxFlow.computeMinCut,18,17,0,,,,0,,
Protected Method,edu.uci.ics.jung.algorithms.flows.EdmondsKarpMaxFlow.finalizeIterations,25,21,0,,,,0,,
Public Method,edu.uci.ics.jung.algorithms.flows.EdmondsKarpMaxFlow.getFlowGraph,4,3,1,,,,0.33,,
Public Method,edu.uci.ics.jung.algorithms.flows.EdmondsKarpMaxFlow.getMaxFlow,4,3,1,,,,0.33,,
Public Method,edu.uci.ics.jung.algorithms.flows.EdmondsKarpMaxFlow.getMinCutEdges,4,3,1,,,,0.33,,
Public Method,edu.uci.ics.jung.algorithms.flows.EdmondsKarpMaxFlow.getNodesInSinkPartition,7,3,4,,,,1.33,,
Public Method,edu.uci.ics.jung.algorithms.flows.EdmondsKarpMaxFlow.getNodesInSourcePartition,7,3,4,,,,1.33,,
Protected Method,edu.uci.ics.jung.algorithms.flows.EdmondsKarpMaxFlow.hasAugmentingPath,48,40,0,,,,0,,
Protected Method,edu.uci.ics.jung.algorithms.flows.EdmondsKarpMaxFlow.initializeIterations,25,21,0,,,,0,,
Public Method,edu.uci.ics.jung.algorithms.flows.EdmondsKarpMaxFlow.step,4,4,0,,,,0,,
